Date,E-waste(g)
2016-09-15,1176684.8329650878
2016-09-16,1184224.4871707293
2016-09-17,1172968.2368976644
2016-09-18,1126293.9889679411
2016-09-19,1069041.6223751428
2016-09-20,1114926.9856766323
2016-09-21,1160394.0089972678
2016-09-22,1251215.2050890566
2016-09-23,1040817.3638937075
2016-09-24,1075663.1783816975
2016-09-25,1551848.793238575
2016-09-26,1347369.8433152956
2016-09-27,1253184.0615713364
2016-09-28,1309093.764465984
2016-09-29,1192370.3339857634
2016-09-30,1117564.5026983065
2016-10-01,1306434.5988917446
2016-10-02,1275737.5656024946
2016-10-03,1097615.1755240706
2016-10-04,1292657.0816200324
2016-10-05,1320960.3646225682
2016-10-06,1327474.729399748
2016-10-07,1243847.467300586
2016-10-08,1343473.1538868027
2016-10-09,1423806.8961004757
2016-10-10,1270813.3157724135
2016-10-11,1168367.5193595313
2016-10-12,1203068.153902494
2016-10-13,1151891.7787512972
2016-10-14,1211952.6560838765
2016-10-15,1189823.6490332587
2016-10-16,1189695.8804323785
2016-10-17,1129942.6895324488
2016-10-18,1268383.0122080264
2016-10-19,1286848.7322035455
2016-10-20,1053247.4867763722
2016-10-21,1255926.8901595997
2016-10-22,1486168.9169016464
2016-10-23,1223019.6222798484
2016-10-24,1261569.0373188313
2016-10-25,1235216.939850476
2016-10-26,1152591.4334386452
2016-10-27,1257445.8495545606
2016-10-28,1347079.6407571884
2016-10-29,1288765.2327828829
2016-10-30,1336049.4363052247
2016-10-31,1435198.6389877421
2016-11-01,1247967.3618565295
2016-11-02,1109561.8673128532
2016-11-03,1298333.4988354028
2016-11-04,1138297.7156402632
2016-11-05,1147588.8087640996
2016-11-06,1297384.370832132
2016-11-07,1299315.6011975158
2016-11-08,1359919.132960322
2016-11-09,1258217.1240587109
2016-11-10,1405154.6844787162
2016-11-11,1453041.0794212879
2016-11-12,1407349.7755651525
2016-11-13,1345665.8034725143
2016-11-14,1369373.1243806249
2016-11-15,1368810.1321112276
2016-11-16,1462373.7990172398
2016-11-17,1465747.205045976
2016-11-18,1381438.4261037542
2016-11-19,1371330.912468947
2016-11-20,1297387.4465554564
2016-11-21,1251669.1235119114
2016-11-22,1299550.154791084
2016-11-23,1410530.715446369
2016-11-24,1399630.3019893137
2016-11-25,1510377.3261389243
2016-11-26,1461673.6427284293
2016-11-27,1456750.807363773
2016-11-28,1450185.664033354
2016-11-29,1457404.4891043825
2016-11-30,1400580.7080975869
2016-12-01,1470537.668884073
2016-12-02,1332950.6529824287
2016-12-03,1543724.414828042
2016-12-04,1593970.188580342
2016-12-05,1463779.6056929152
2016-12-06,1393793.9317640308
2016-12-07,1589512.7339003966
2016-12-08,1643894.6819921841
2016-12-09,1385008.0520479248
2016-12-10,1287207.677278884
2016-12-11,1570197.3707397645
2016-12-12,1661085.5459002412
2016-12-13,1658756.5983518204
2016-12-14,1505391.4480263768
2016-12-15,1366777.7902214702
2016-12-16,1381992.848075446
2016-12-17,1347244.1234642824
2016-12-18,1634356.66540449
2016-12-19,1528026.2092500273
2016-12-20,1479811.2113507271
2016-12-21,1573775.7332359427
2016-12-22,1680719.5534620867
2016-12-23,1604589.948947907
2016-12-24,1480263.7626500642
2016-12-25,1621127.7508816568
2016-12-26,4331217.8553543305
2016-12-27,3974930.878947069
2016-12-28,4489850.225011979
2016-12-29,4272131.91095284
2016-12-30,4320268.242703714
2016-12-31,4482518.96292627
2017-01-01,4248866.303839711
2017-01-02,4041480.813882134
2017-01-03,4700647.513713091
2017-01-04,4286243.037757829
2017-01-05,4420462.289302956
2017-01-06,4132669.8380846446
2017-01-07,4187616.5178737845
2017-01-08,4133235.0108853267
2017-01-09,1715022.9770850833
2017-01-10,1521812.0259075263
2017-01-11,1868691.9661951356
2017-01-12,1835795.6895048132
2017-01-13,1953473.244337283
2017-01-14,1779944.083516122
2017-01-15,1915452.3317723065
2017-01-16,1944007.426230949
2017-01-17,1812763.6680248051
2017-01-18,1836262.1526285303
2017-01-19,1811710.6593900367
2017-01-20,2010703.740970733
2017-01-21,2160565.1186591587
2017-01-22,2020209.1554645968
2017-01-23,2155313.26939587
2017-01-24,1841050.6544766491
2017-01-25,1964563.0503242002
2017-01-26,2092940.4992015485
2017-01-27,2195220.8511980297
2017-01-28,2122822.798149851
2017-01-29,2060338.5737441333
2017-01-30,2086611.8457434985
2017-01-31,1969572.9871423035
2017-02-01,1587089.5028576034
2017-02-02,1649379.1298384091
2017-02-03,1226845.039507214
2017-02-04,1457725.884022804
2017-02-05,1462923.7993208517
2017-02-06,1397761.1350406052
2017-02-07,1289892.870327378
2017-02-08,1507505.5905626293
2017-02-09,1546800.2193712448
2017-02-10,1510668.7639743527
2017-02-11,1413196.7817906651
2017-02-12,1356882.1067143183
2017-02-13,1496054.1811422121
2017-02-14,1712347.320996028
2017-02-15,1424830.821194809
2017-02-16,1447427.354976894
2017-02-17,1445839.0349541837
2017-02-18,1542654.7184165244
2017-02-19,1486466.026747836
2017-02-20,1390784.409695182
2017-02-21,1450135.4366815109
2017-02-22,1426097.956665498
2017-02-23,1405997.464642499
2017-02-24,1638388.359416558
2017-02-25,1682912.9144167036
2017-02-26,1782705.4875685629
2017-02-27,4216318.944089121
2017-02-28,3818627.894784153
2017-03-01,3877071.683916264
2017-03-02,3971133.2996085654
2017-03-03,3750539.2941089743
2017-03-04,4045463.074315209
2017-03-05,3740215.1697452837
2017-03-06,1526994.9431138183
2017-03-07,1566619.2832624272
2017-03-08,1634286.952853543
2017-03-09,1548664.2471459806
2017-03-10,1609801.7949955075
2017-03-11,1558142.7156165396
2017-03-12,1687055.204157997
2017-03-13,1638101.3539546225
2017-03-14,1580548.4749074813
2017-03-15,1567918.0895048562
2017-03-16,1558249.0119122618
2017-03-17,1741929.2653778854
2017-03-18,1801964.3421666722
2017-03-19,1636044.1517673314
2017-03-20,1621432.115817422
2017-03-21,1556406.9344246855
2017-03-22,1636058.026915011
2017-03-23,1655147.2752205501
2017-03-24,1824093.164498403
2017-03-25,1729791.9117098644
2017-03-26,1615040.4182169803
2017-03-27,1693522.9733536993
2017-03-28,1631521.121210655
2017-03-29,1564445.5602839023
2017-03-30,1724809.696807021
2017-03-31,1704724.304811993
2017-04-01,1348203.5717269904
2017-04-02,1485419.4724980046
2017-04-03,1671378.0907947714
2017-04-04,1465855.580897515
2017-04-05,1455590.7248048282
2017-04-06,1502538.3803779283
2017-04-07,1514626.6792641238
2017-04-08,1600831.299793625
2017-04-09,1507529.1987440756
2017-04-10,1475608.516676274
2017-04-11,1627745.104220897
2017-04-12,1527330.7125121576
2017-04-13,1441601.395851365
2017-04-14,1330107.125581294
2017-04-15,1556254.0922871223
2017-04-16,1537614.5152729813
2017-04-17,1517905.6309853012
2017-04-18,1438070.7259322589
2017-04-19,1519428.6704983958
2017-04-20,1472996.788589037
2017-04-21,1602600.683893659
2017-04-22,1597378.1060411248
2017-04-23,1579110.0891559278
2017-04-24,1559650.840338313
2017-04-25,1344475.1463633794
2017-04-26,1592538.1371225184
2017-04-27,1555400.1339483927
2017-04-28,1453737.7220246363
2017-04-29,1659558.0621967388
2017-04-30,1685293.9514376542
2017-05-01,3731443.438492126
2017-05-02,3674336.9881263063
2017-05-03,3497003.678067091
2017-05-04,3569691.4270662195
2017-05-05,3594098.689341234
2017-05-06,3790525.4649592023
2017-05-07,3941434.694543551
2017-05-08,4060524.871832667
2017-05-09,4042867.5797426426
2017-05-10,3792453.8926609126
2017-05-11,3914887.5359894414
2017-05-12,3632654.397653545
2017-05-13,3974272.6229813662
2017-05-14,4196210.194049707
2017-05-15,6238190.677362348
2017-05-16,5495576.558377722
2017-05-17,5113216.477658334
2017-05-18,5507316.320284047
2017-05-19,5343701.891786704
2017-05-20,6132765.867999605
2017-05-21,5612205.077218967
2017-05-22,5299640.537854083
2017-05-23,6068186.393902328
2017-05-24,6034148.153060904
2017-05-25,6311597.594477416
2017-05-26,6117933.071722888
2017-05-27,6063419.492394808
2017-05-28,6827950.241323949
2017-05-29,6031768.949204128
2017-05-30,6733783.4927066155
2017-05-31,6887662.836445709
2017-06-01,6551399.62212182
2017-06-02,6270976.729100473
2017-06-03,6875347.647923633
2017-06-04,6935694.294364574
2017-06-05,7318084.744788764
2017-06-06,7480961.938830325
2017-06-07,6915459.460223692
2017-06-08,7485589.350040174
2017-06-09,6881858.20258252
2017-06-10,6603564.899933864
2017-06-11,6344067.623588492
2017-06-12,6956251.372634162
2017-06-13,6176960.535447645
2017-06-14,6463205.604371757
2017-06-15,6078891.421833026
2017-06-16,6216800.190514208
2017-06-17,5993543.32894779
2017-06-18,5967084.268801204
2017-06-19,6284838.660328895
2017-06-20,6526941.334709347
2017-06-21,5776918.416735694
2017-06-22,5757981.833832873
2017-06-23,6792639.336924991
2017-06-24,6127772.324281712
2017-06-25,6170858.538928961
2017-06-26,5399201.48561215
2017-06-27,5934978.020866147
2017-06-28,6138821.854522072
2017-06-29,6023251.123626216
2017-06-30,5711641.123058611
2017-07-01,6243597.521642527
2017-07-02,6785022.262358666
2017-07-03,6769156.752830465
2017-07-04,6054753.170340391
2017-07-05,6060809.459375081
2017-07-06,5726063.836508135
2017-07-07,5293048.530507859
2017-07-08,5903942.455516186
2017-07-09,6090361.993773157
2017-07-10,4956303.292773653
2017-07-11,5444580.937605716
2017-07-12,5017705.041353125
2017-07-13,5102596.375291566
2017-07-14,4809701.836591662
2017-07-15,4181754.0211130856
2017-07-16,5102809.752181415
2017-07-17,5054497.574774968
2017-07-18,5244812.113407461
2017-07-19,5223102.011823508
2017-07-20,5573579.408564
2017-07-21,5196086.239672365
2017-07-22,5169175.018669751
2017-07-23,5705215.521664014
2017-07-24,5908267.879932121
2017-07-25,5329573.524983512
2017-07-26,4945639.286453858
2017-07-27,5250265.864213494
2017-07-28,5629680.6221749615
2017-07-29,5639120.574089999
2017-07-30,5295899.822793095
2017-07-31,5289346.881868981
2017-08-01,4914102.302190911
2017-08-02,4812682.321262478
2017-08-03,4739767.104923121
2017-08-04,5172679.63244049
2017-08-05,5980037.745375325
2017-08-06,4968055.214316657
2017-08-07,6443594.905559145
2017-08-08,7008112.000963505
2017-08-09,6336507.704917003
2017-08-10,6046292.9101483
2017-08-11,6373440.056471634
2017-08-12,6023513.82747569
2017-08-13,6618916.998906323
2017-08-14,6265789.073639501
2017-08-15,6514419.109155274
2017-08-16,6115157.613697731
2017-08-17,7155625.313696214
2017-08-18,7360590.855854592
2017-08-19,6967474.296623668
2017-08-20,6484370.261164155
2017-08-21,5378921.132588993
