Date,HashRate
2018-11-14,2.3378376746095E+14
2018-11-15,2.2694000378751E+14
2018-11-16,2.2277021838741E+14
2018-11-17,2.3302047732308E+14
2018-11-18,2.2352638261922E+14
2018-11-19,2.151116887362E+14
2018-11-20,1.942899219534E+14
2018-11-21,1.9597958276864E+14
2018-11-22,2.0549457233641E+14
2018-11-23,1.9901754469864E+14
2018-11-24,1.8300679015087E+14
2018-11-25,1.8725824055062E+14
2018-11-26,1.755278788816E+14
2018-11-27,1.6348238581668E+14
2018-11-28,1.5912012614561E+14
2018-11-29,1.6290407491196E+14
2018-11-30,1.6786767102381E+14
2018-12-01,1.8105461052468E+14
2018-12-02,1.8044770008975E+14
2018-12-03,1.8108481228072E+14
2018-12-04,1.8387495527293E+14
2018-12-05,1.7900653408074E+14
2018-12-06,1.7424245944225E+14
2018-12-07,1.7311880586941E+14
2018-12-08,1.6543240313382E+14
2018-12-09,1.5950017356507E+14
2018-12-10,1.6076029253182E+14
2018-12-11,1.6079251988594E+14
2018-12-12,1.5298064246676E+14
2018-12-13,1.6370816221813E+14
2018-12-14,1.6931689224163E+14
2018-12-15,1.505977187011E+14
2018-12-16,1.5869395193613E+14
2018-12-17,1.4621182804678E+14
2018-12-18,1.5019035793399E+14
2018-12-19,151916534505429
2018-12-20,1.5740971301811E+14
2018-12-21,1.7496095528606E+14
2018-12-22,1.7265404361341E+14
2018-12-23,1.8545359991937E+14
2018-12-24,1.7774225042966E+14
2018-12-25,1.6868018191448E+14
2018-12-26,1.6280608281655E+14
2018-12-27,1.678765787965E+14
2018-12-28,1.6696492179853E+14
2018-12-29,1.7074290345377E+14
2018-12-30,1.7275184506977E+14
2018-12-31,1.7242421512259E+14
2019-01-01,1.6881373369041E+14
2019-01-02,1.7053539948647E+14
2019-01-03,1.745149751883E+14
2019-01-04,1.7862874247231E+14
2019-01-05,1.7880188708736E+14
2019-01-06,1.796005011408E+14
2019-01-07,1.7498702721201E+14
2019-01-08,1.7266347393808E+14
2019-01-09,1.74219556423E+14
2019-01-10,1.7923301564342E+14
2019-01-11,1.9039334220091E+14
2019-01-12,1.9404419737198E+14
2019-01-13,1.9242009605985E+14
2019-01-14,185399092785622
2019-01-15,1.7360441107433E+14
2019-01-16,172868159220833
2019-01-17,1.8621884533201E+14
2019-01-18,1.8591337193998E+14
2019-01-19,1.863312871924E+14
2019-01-20,1.8557075850341E+14
2019-01-21,1.7616719278285E+14
2019-01-22,1.8698969723915E+14
2019-01-23,1.861944236038E+14
2019-01-24,1.9105188340848E+14
2019-01-25,1.8434992765059E+14
2019-01-26,1.9666893563453E+14
2019-01-27,2.0761477279084E+14
2019-01-28,1.9995870822806E+14
2019-01-29,1.9974914113358E+14
2019-01-30,2.0970042561186E+14
2019-01-31,1.9008918735471E+14
2019-02-01,1.968390705359E+14
2019-02-02,2.0679322884185E+14
2019-02-03,2.0991966894452E+14
2019-02-04,2.0338115262194E+14
2019-02-05,2.0235640900793E+14
2019-02-06,2.0535108992989E+14
2019-02-07,2.1160681001692E+14
2019-02-08,2.0286115305712E+14
2019-02-09,2.0412335259441E+14
2019-02-10,2.1258067060262E+14
2019-02-11,2.1217033103411E+14
2019-02-12,2.097386959851E+14
2019-02-13,2.1786193966337E+14
2019-02-14,2.1479808877389E+14
2019-02-15,2.1079630170631E+14
2019-02-16,2.2581624306962E+14
2019-02-17,2.2097819552561E+14
2019-02-18,2.2607459781388E+14
2019-02-19,2.2304216617323E+14
2019-02-20,2.2452873138742E+14
2019-02-21,2.3246096040474E+14
2019-02-22,2.1999468437039E+14
2019-02-23,2.359141395707E+14
2019-02-24,2.3834881819898E+14
2019-02-25,2.2848268686635E+14
2019-02-26,2.4327383629207E+14
2019-02-27,2.3819610160068E+14
2019-02-28,2.3017384453046E+14
2019-03-01,2.3169959279069E+14
2019-03-02,2.3821307697145E+14
2019-03-03,2.3826045318088E+14
2019-03-04,2.4399098307572E+14
2019-03-05,2.6796962438441E+14
2019-03-06,2.5446808255664E+14
2019-03-07,2.5341187580369E+14
2019-03-08,2.4138478999707E+14
2019-03-09,2.5448797564162E+14
2019-03-10,2.4658651172712E+14
2019-03-11,2.5830306988916E+14
2019-03-12,2.6630538601947E+14
2019-03-13,2.5170640619964E+14
2019-03-14,2.6039542221151E+14
2019-03-15,2.5841709358402E+14
2019-03-16,2.5227561730884E+14
2019-03-17,2.7338632706782E+14
2019-03-18,2.8832166183392E+14
2019-03-19,2.7265570907921E+14
2019-03-20,2.6367982886458E+14
2019-03-21,2.7595287017022E+14
2019-03-22,2.8090911675951E+14
2019-03-23,2.8364933322305E+14
2019-03-24,2.8420995103751E+14
2019-03-25,2.7755390506169E+14
2019-03-26,2.9841578080342E+14
2019-03-27,284466818090944
2019-03-28,2.9856691839932E+14
2019-03-29,3.2135978463537E+14
2019-03-30,3.1589616431059E+14
2019-03-31,3.0088241455803E+14
2019-04-01,3.1110484960323E+14
2019-04-02,3.3699027733049E+14
2019-04-03,3.3490214153764E+14
2019-04-04,3.2121009837692E+14
2019-04-05,3.3558480981602E+14
2019-04-06,3.3504467881823E+14
2019-04-07,3.3759249916653E+14
2019-04-08,3.5943706634265E+14
2019-04-09,3.3252995619061E+14
2019-04-10,3.1967976760990E+14
2019-04-11,3.3507294180274E+14
2019-04-12,3.2050118304274E+14
2019-04-13,3.2489123443754E+14
2019-04-14,3.4754650921881E+14
2019-04-15,3.719233443568E+14
2019-04-16,3.3792593449696E+14
2019-04-17,3.3328614855011E+14
2019-04-18,3.4368688008748E+14
2019-04-19,3.4166619439148E+14
2019-04-20,3.334310382648E+14
2019-04-21,3.4583737273784E+14
2019-04-22,3.3539070180521E+14
2019-04-23,3.2906299622674E+14
2019-04-24,3.2811595194941E+14
2019-04-25,3.1810667036302E+14
2019-04-26,3.2047725230546E+14
2019-04-27,3.2220657927742E+14
2019-04-28,3.1888299604826E+14
2019-04-29,333406253464246
2019-04-30,3.37688342243E+14
2019-05-01,3.4409110061829E+14
2019-05-02,3.5597836575746E+14
2019-05-03,3.3161752666982E+14
