Date,HashRate
2015-12-12,96773885494
2015-12-13,94410263163
2015-12-14,92429446828
2015-12-15,95223199106
2015-12-16,110987703608
2015-12-17,95469790050
2015-12-18,99671826504
2015-12-19,99336739988
2015-12-20,98606828302
2015-12-21,92437030742
2015-12-22,104187291792
2015-12-23,91919266832
2015-12-24,77576915644
2015-12-25,102874955917
2015-12-26,97742670581
2015-12-27,107053759671
2015-12-28,98697265204
2015-12-29,107437391886
2015-12-30,97240264508
2015-12-31,105586345882
2016-01-01,94581019212
2016-01-02,96667960387
2016-01-03,97235271089
2016-01-04,106740041992
2016-01-05,111843919857
2016-01-06,98301524202
2016-01-07,100861658623
2016-01-08,103931500192
2016-01-09,104884787966
2016-01-10,103707404616
2016-01-11,100056009873
2016-01-12,95192100111
2016-01-13,103569868726
2016-01-14,94972623167
2016-01-15,99058437267
2016-01-16,103848991323
2016-01-17,102795626780
2016-01-18,99216924145
2016-01-19,99558998400
2016-01-20,104174436181
2016-01-21,108791845755
2016-01-22,103971580401
2016-01-23,112271281850
2016-01-24,106685573725
2016-01-25,94377987126
2016-01-26,99901290605
2016-01-27,89924159963
2016-01-28,101846885754
2016-01-29,114189857880
2016-01-30,134175075340
2016-01-31,127767621174
2016-02-01,124084554837
2016-02-02,123087289943
2016-02-03,121380430266
2016-02-04,124476804933
2016-02-05,111072585813
2016-02-06,102389313875
2016-02-07,119445549589
2016-02-08,120781336577
2016-02-09,111487691433
2016-02-10,118116112298
2016-02-11,112968029473
2016-02-12,95953393947
2016-02-13,105122984896
2016-02-14,130347451907
2016-02-15,126734567604
2016-02-16,105240819514
2016-02-17,111640259447
2016-02-18,120261563480
2016-02-19,113630771987
2016-02-20,122151757507
2016-02-21,122335951702
2016-02-22,117986212110
2016-02-23,119247215962
2016-02-24,118519272837
2016-02-25,126339204907
2016-02-26,111075631379
2016-02-27,105512476236
2016-02-28,105716323244
2016-02-29,96882955547
2016-03-01,97503840377
2016-03-02,89954701044
2016-03-03,86859563212
2016-03-04,86810977365
2016-03-05,90112390612
2016-03-06,85911349305
2016-03-07,92120289833
2016-03-08,106479042364
2016-03-09,101387686015
2016-03-10,106023505802
2016-03-11,105531511214
2016-03-12,114048300753
2016-03-13,100553576974
2016-03-14,104253922489
2016-03-15,94682873136
2016-03-16,93472980006
2016-03-17,84577643736
2016-03-18,90663371850
2016-03-19,86353238813
2016-03-20,90429621949
2016-03-21,90178627332
2016-03-22,89310780722
2016-03-23,91751853299
2016-03-24,87809547644
2016-03-25,81995988379
2016-03-26,89443020139
2016-03-27,100192034875
2016-03-28,87768693080
2016-03-29,90010367099
2016-03-30,95532862935
2016-03-31,79924543973
2016-04-01,82201144912
2016-04-02,87854199129
2016-04-03,90674739318
2016-04-04,80366560064
2016-04-05,91488173716
2016-04-06,83816993447
2016-04-07,89819663684
2016-04-08,87326013035
2016-04-09,81262779177
2016-04-10,96023431318
2016-04-11,81201617448
2016-04-12,78748502887
2016-04-13,85095535675
2016-04-14,86077293145
2016-04-15,82794180944
2016-04-16,89141969290
2016-04-17,90740100613
2016-04-18,87798592600
2016-04-19,90402460350
2016-04-20,87961055467
2016-04-21,94407779112
2016-04-22,94719687213
2016-04-23,105815617750
2016-04-24,124244952509
2016-04-25,111211818250
2016-04-26,109972871304
2016-04-27,131651660941
2016-04-28,107713087048
2016-04-29,94741389846
2016-04-30,105147529880
2016-05-01,103615549015
2016-05-02,105967338090
2016-05-03,106281666606
2016-05-04,94038178523
2016-05-05,86681367036
2016-05-06,91813670903
2016-05-07,102623453581
2016-05-08,104827134644
2016-05-09,118439300673
2016-05-10,112923544208
2016-05-11,118776343249
2016-05-12,118540659002
2016-05-13,122994893928
2016-05-14,134826017373
2016-05-15,123913421914
2016-05-16,141872179816
2016-05-17,137023377052
2016-05-18,146115693308
2016-05-19,160822770450
2016-05-20,172910786051
2016-05-21,180888064405
2016-05-22,170032389811
2016-05-23,174172471240
2016-05-24,174196022638
2016-05-25,167369592915
2016-05-26,173684414973
2016-05-27,160614697293
2016-05-28,190448345923
2016-05-29,187026895772
2016-05-30,183738850124
2016-05-31,177560031978
2016-06-01,196684585035
2016-06-02,198748839714
2016-06-03,217811708323
2016-06-04,219592186063
2016-06-05,226275402774
2016-06-06,212754402879
